//|================================================================|
//| GoldMU.net Chỉnh sửa Cash Shop                                 |
//| Credit: GoldMU/MU Online                          [GoldMU.net] |
//|================================================================|
//Cat	ID	Main	Item	Coin	Price	Bonus	PBase1	PBase2	PBase3	PBase4	PBase5	PBase6	PBase7	PBase8	PBase9	PBase10	PMain1	PMain2	PMain3	PMain4	PMain5	PMain6	PMain7	PMain8	PMain9	PMain10	Comment
36	131	131	1	508	150000	0	1310	0	0	0	0	0	0	0	0	0	1310	0	0	0	0	0	0	0	0	0	// (Box) Trang Bị Thức Tỉnh
36	132	132	1	508	200000	0	1320	0	0	0	0	0	0	0	0	0	1320	0	0	0	0	0	0	0	0	0	// (Box) Trang Bị Hắc Thần
36	133	133	1	508	250000	0	1330	0	0	0	0	0	0	0	0	0	1330	0	0	0	0	0	0	0	0	0	// (Box) Trang Bị Thánh Thần
36	134	134	1	508	300000	0	1340	0	0	0	0	0	0	0	0	0	1340	0	0	0	0	0	0	0	0	0	// (Box) Trang Bị Mắt Xanh
36	135	135	1	508	350000	0	1350	0	0	0	0	0	0	0	0	0	1350	0	0	0	0	0	0	0	0	0	// (Box) Trang Bị Tim Bạc
36	177	177	1	508	100000	0	1770	0	0	0	0	0	0	0	0	0	1770	0	0	0	0	0	0	0	0	0	// (Box) Vũ Khí Custom
36	178	178	1	508	100000	0	1780	0	0	0	0	0	0	0	0	0	1780	0	0	0	0	0	0	0	0	0	// (Box) Khiên Custom
37	104	104	1	508	2000	0	1040	0	0	0	0	0	0	0	0	0	1040	0	0	0	0	0	0	0	0	0	// Vé Quảng Trường Quỷ
37	105	105	1	508	2000	0	1050	0	0	0	0	0	0	0	0	0	1050	0	0	0	0	0	0	0	0	0	// Vé Huyết Lâu
37	172	172	1	508	2000	0	1720	0	0	0	0	0	0	0	0	0	1720	0	0	0	0	0	0	0	0	0	// Vé Bạch Long Điện
37	179	179	1	508	10000	0	1790	0	0	0	0	0	0	0	0	0	1790	0	0	0	0	0	0	0	0	0	// Vé Tham Gia Dopple
37	180	180	1	508	10000	0	1800	0	0	0	0	0	0	0	0	0	1800	0	0	0	0	0	0	0	0	0	// Mệnh Lệnh Của Gaion
37	181	181	1	508	10000	0	1810	0	0	0	0	0	0	0	0	0	1810	0	0	0	0	0	0	0	0	0	// Hoàn Thành Sekeromikon
38	136	136	1	508	150000	0	1360	0	0	0	0	0	0	0	0	0	1360	0	0	0	0	0	0	0	0	0	// Sách Gọi Erohim
38	137	137	1	508	150000	0	1370	0	0	0	0	0	0	0	0	0	1370	0	0	0	0	0	0	0	0	0	// Sách Gọi Kundun
38	138	138	1	508	150000	0	1380	0	0	0	0	0	0	0	0	0	1380	0	0	0	0	0	0	0	0	0	// Sách Gọi Medusa
38	139	139	1	508	150000	0	1390	0	0	0	0	0	0	0	0	0	1390	0	0	0	0	0	0	0	0	0	// Sách Gọi Selupan
38	182	182	1	508	150000	0	1820	0	0	0	0	0	0	0	0	0	1820	0	0	0	0	0	0	0	0	0	// Sách Gọi Hộp Qùa
38	183	183	1	508	150000	0	1830	0	0	0	0	0	0	0	0	0	1830	0	0	0	0	0	0	0	0	0	// Sách Gọi Rồng 2 Đầu
39	140	140	1	508	10000	0	1400	0	0	0	0	0	0	0	0	0	1400	0	0	0	0	0	0	0	0	0	// Ngọc Ước Nguyện
39	141	141	1	508	9000	0	1410	0	0	0	0	0	0	0	0	0	1410	0	0	0	0	0	0	0	0	0	// Ngọc Tâm Linh
39	142	142	1	508	7000	0	1420	0	0	0	0	0	0	0	0	0	1420	0	0	0	0	0	0	0	0	0	// Ngọc Sinh Mệnh
39	143	143	1	508	6000	0	1430	0	0	0	0	0	0	0	0	0	1430	0	0	0	0	0	0	0	0	0	// Ngọc Sáng Tạo
39	144	144	1	508	5000	0	1440	0	0	0	0	0	0	0	0	0	1440	0	0	0	0	0	0	0	0	0	// Đá Hộ Mệnh
39	145	145	1	508	8000	0	1450	0	0	0	0	0	0	0	0	0	1450	0	0	0	0	0	0	0	0	0	// Đá Tạo Hóa
39	146	146	1	508	8000	0	1460	0	0	0	0	0	0	0	0	0	1460	0	0	0	0	0	0	0	0	0	// Ngọc Hỗn Nguyên
39	147	147	1	508	300000	0	1470	0	0	0	0	0	0	0	0	0	1470	0	0	0	0	0	0	0	0	0	// Ngọc Cấp Độ
39	148	148	1	508	20000	0	1480	0	0	0	0	0	0	0	0	0	1480	0	0	0	0	0	0	0	0	0	// Ngọc Tuyệt Chiêu
39	149	149	1	508	30000	0	1490	0	0	0	0	0	0	0	0	0	1490	0	0	0	0	0	0	0	0	0	// Ngọc May Mắn
39	150	150	1	508	20000	0	1500	0	0	0	0	0	0	0	0	0	1500	0	0	0	0	0	0	0	0	0	// Ngọc Tính Năng
39	151	151	1	508	200000	0	1510	0	0	0	0	0	0	0	0	0	1510	0	0	0	0	0	0	0	0	0	// Ngọc Hoàn Hảo
39	152	152	1	508	150000	0	1520	0	0	0	0	0	0	0	0	0	1520	0	0	0	0	0	0	0	0	0	// Ngọc Socket
39	153	153	1	508	250000	0	1530	0	0	0	0	0	0	0	0	0	1530	0	0	0	0	0	0	0	0	0	// Ngọc Thần Loại 1
39	154	154	1	508	250000	0	1540	0	0	0	0	0	0	0	0	0	1540	0	0	0	0	0	0	0	0	0	// Ngọc Thần Loại 2
39	155	155	1	508	500000	0	1550	0	0	0	0	0	0	0	0	0	1550	0	0	0	0	0	0	0	0	0	// Ngọc Full
40	156	156	1	508	50000	0	1560	0	0	0	0	0	0	0	0	0	1560	0	0	0	0	0	0	0	0	0	// Sừng Gãy
40	157	157	1	508	20000	0	1570	0	0	0	0	0	0	0	0	0	1570	0	0	0	0	0	0	0	0	0	// Linh Hồn Thú Nuôi
40	158	158	1	508	20000	0	1580	0	0	0	0	0	0	0	0	0	1580	0	0	0	0	0	0	0	0	0	// Linh Hồn Thú Nuôi
40	159	159	1	508	50000	0	1590	0	0	0	0	0	0	0	0	0	1590	0	0	0	0	0	0	0	0	0	// Lông Vũ
40	160	160	1	508	50000	0	1600	0	0	0	0	0	0	0	0	0	1600	0	0	0	0	0	0	0	0	0	// Huy Hiệu Hoàng Tộc
40	161	161	1	508	150000	0	1610	0	0	0	0	0	0	0	0	0	1610	0	0	0	0	0	0	0	0	0	// Xương Thần Chết
40	162	162	1	508	150000	0	1620	0	0	0	0	0	0	0	0	0	1620	0	0	0	0	0	0	0	0	0	// Da Quỷ Vương
40	163	163	1	508	150000	0	1630	0	0	0	0	0	0	0	0	0	1630	0	0	0	0	0	0	0	0	0	// Lông Vũ Phượng Hoàng
40	164	164	1	508	150000	0	1640	0	0	0	0	0	0	0	0	0	1640	0	0	0	0	0	0	0	0	0	// Linh Hồn Dơi Lửa
40	165	165	1	508	200000	0	1650	0	0	0	0	0	0	0	0	0	1650	0	0	0	0	0	0	0	0	0	// Linh Hồn Condor
40	166	166	1	508	200000	0	1660	0	0	0	0	0	0	0	0	0	1660	0	0	0	0	0	0	0	0	0	// Lông Vũ Condor
40	167	167	1	508	300000	0	1670	0	0	0	0	0	0	0	0	0	1670	0	0	0	0	0	0	0	0	0	// (Lông Vũ) Cánh Custom
40	168	168	1	508	400000	0	1680	0	0	0	0	0	0	0	0	0	1680	0	0	0	0	0	0	0	0	0	// (Lông Vũ) Cánh Season 13
40	169	169	1	508	500000	0	1690	0	0	0	0	0	0	0	0	0	1690	0	0	0	0	0	0	0	0	0	// (Lông Vũ) Cánh Season 8
40	175	175	1	508	50000	0	1750	0	0	0	0	0	0	0	0	0	1750	0	0	0	0	0	0	0	0	0	// Thép Thiên Đường
40	176	176	1	508	150000	0	1760	0	0	0	0	0	0	0	0	0	1760	0	0	0	0	0	0	0	0	0	// Búa Archangels
end
