//|================================================================|
//| GoldMU.net Chỉnh sửa Cash Shop                                 |
//| Credit: GoldMU/MU Online                          [GoldMU.net] |
//|================================================================|
//ID	Number	Value	Item	Level	Skill	Luck	Option	ExOpt	AncOp	JOH	Oexe	Socket1	Socket2	Socket3	Socket4	Socket5	Qtd	Duration	Comment
1070	1070	5000	6736	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Gấu Trúc (1 Days)
1070	1071	15000	6736	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Gấu Trúc (3 Days)
1080	1080	5000	6732	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Panda Ring (1 Days)
1080	1081	15000	6732	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Panda Ring (3 Days)
1090	1090	10000	6749	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Bùa Master (1 Days)
1090	1091	60000	6749	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Bùa Master (7 Days)
1090	1092	200000	6749	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Bùa Master (30 Days)
1100	1100	15000	6750	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Bùa Siêu Master (1 Days)
1100	1101	100000	6750	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Bùa Siêu Master (7 Days)
1100	1102	400000	6750	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Bùa Siêu Master (30 Days)
1110	1110	5000	6779	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Rồng xương (1 Days)
1110	1111	15000	6779	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Rồng xương (3 Days)
1120	1120	2000	6778	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Nhẫn xương (1 Days)
1120	1121	7000	6778	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Nhẫn xương (3 Days)
1130	1130	10000	6769	0	0	0	0	0	0	0	0	255	255	255	255	255	255	86400	// Ruby Necklace (1 Days)
1140	1140	20000	7238	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Bình máu siêu cấp (1 UN)
1150	1150	10000	6766	0	0	0	0	0	0	0	0	255	255	255	255	255	255	86400	// Ruby Ring (1 Days)
1160	1160	5000	7240	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Bùa Tốc Độ (30 Days)
1170	1170	3000	7241	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Bùa Phòng Thủ (30 Days)
1180	1180	3000	7242	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Bùa Tấn Công (30 Days)
1190	1190	5000	7244	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Bùa HP (30 Days)
1200	1200	3000	7243	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Bùa Phép Thuật (30 Days)
1210	1210	3000	7245	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Bùa Mana (30 Days)
1220	1220	50000	7330	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Mở rộng thùng đồ (1 UN)
1230	1230	10000	7265	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Bùa Chí Mạng (30 Days)
1240	1240	10000	7266	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Bùa Hoàn Hảo (30 Days)
1250	1250	100000	7331	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Mở rộng thùng đồ chung (1 UN)
1260	1260	5000	6761	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Tăng Tối Đa SD (1 Days)
1260	1261	30000	6761	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Tăng Tối Đa SD (7 Days)
1260	1262	100000	6761	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Tăng Tối Đa SD (30 Days)
1270	1270	50000	7223	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Hộp Quà Trang Bị 380 (1 EA)
1280	1280	70000	7224	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Hộp Quà Vũ Khí Rồng (1 EA)
1290	1290	40000	7225	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Hộp Quà Trang Sức (1 EA)
1300	1300	100000	7368	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// (Box Item Huyết Thần (1 EA)
1310	1310	150000	7369	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// (Box Item Thức Tỉnh (1 EA)
1320	1320	200000	7370	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// (Box Item Hắc Thần (1 EA)
1330	1330	250000	7371	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// (Box Item Thánh Thần (1 EA)
1340	1340	300000	7372	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// (Box Item Mắt Xanh (1 EA)
1350	1350	350000	7373	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// (Box Item Tim Bạc (1 EA)
1360	1360	150000	7363	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Sách Gọi Erohim (1 EA)
1370	1370	150000	7360	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Sách Gọi Boss Kundun (1 EA)
1380	1380	150000	7361	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Sách Gọi Boss Medusa (1 EA)
1390	1390	150000	7362	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Sách Gọi Boss Selupan (1 EA)
1400	1400	10000	7181	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Ngọc Ước Nguyện (1 EA)
1410	1410	9000	7182	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Ngọc Tâm Linh (1 EA)
1420	1420	7000	7184	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Ngọc Sinh Mệnh (1 EA)
1430	1430	6000	7190	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Ngọc Sáng Tạo (1 EA)
1440	1440	5000	7199	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Đá Hộ Mệnh (1 EA)
1450	1450	8000	7210	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Đá Tạo Hóa (1 EA)
1460	1460	8000	6159	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Ngọc Hỗn Nguyên (1 EA)
1470	1470	300000	7412	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Ngọc Cấp Độ (1 EA)
1480	1480	20000	7413	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Ngọc Tuyệt Chiêu (1 EA)
1490	1490	30000	7414	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Ngọc May Mắn (1 EA)
1500	1500	20000	7415	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Ngọc Tính Năng (1 EA)
1510	1510	200000	7416	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Ngọc Hoàn Hảo (1 EA)
1520	1520	150000	7417	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Ngọc Socket (1 EA)
1530	1530	250000	7418	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Ngọc Thần Loại 1 (1 EA)
1540	1540	250000	7419	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Ngọc Thần Loại 2 (1 EA)
1550	1550	500000	7420	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Ngọc Full (1 EA)
1560	1560	50000	6692	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Sừng Gãy (1 EA)
1570	1570	20000	6687	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Linh Hồn Thú Nuôi (1 EA)
1580	1580	20000	6687	1	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Linh Hồn Thú Nuôi (1 EA)
1590	1590	50000	6670	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Lông Vũ (1 EA)
1600	1600	50000	6670	1	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Lông Vũ (1 EA)
1610	1610	150000	7344	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Xương Thần Chết (1 EA)
1620	1620	150000	7345	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Da Quỷ Vương (1 EA)
1630	1630	150000	7346	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Lông Vũ Phượng Hoàng (1 EA)
1640	1640	150000	7347	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Linh Hồn Dơi Lửa (1 EA)
1650	1650	200000	6708	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Linh Hồn Condor (1 EA)
1660	1660	200000	6709	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Lông Vũ Condor (1 EA)
1670	1670	300000	7349	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// (Lông Vũ) Cánh Custom (1 EA)
1680	1680	400000	7350	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// (Lông Vũ) Cánh Season 13 (1 EA)
1690	1690	500000	7351	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// (Lông Vũ) Cánh Season 8 (1 EA)
1700	1700	150000	6693	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Linh Hồn Sói Tinh (1 EA)
1710	1710	200000	7341	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// MuunPet Egg (1 EA)
1720	1720	2000	6717	0	0	0	0	0	0	0	0	255	255	255	255	255	1	0	// Vé Bạch Long Điện (1 EA)
1720	1721	18000	6717	0	0	0	0	0	0	0	0	255	255	255	255	255	10	0	// Vé Bạch Long Điện (1 EA)
1730	1730	100000	6660	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Chiến Mã (1 EA)
1740	1740	50000	6661	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Quạ Tinh (1 EA)
1750	1750	50000	6806	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Thép Thiên Đường (1 EA)
1760	1760	150000	6807	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Búa Archangels (1 EA)
1770	1770	100000	7376	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// (Box) Vũ Khí Custom (1 EA)
1780	1780	100000	7377	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// (Box) Khiên Custom (1 EA)
1790	1790	10000	7279	0	0	0	0	0	0	0	0	255	255	255	255	255	1	0	// Vé Tham Gia Dopple (1 EA)
1800	1800	10000	7270	0	0	0	0	0	0	0	0	255	255	255	255	255	1	0	// Mệnh Lệnh Của Gaion (1 EA)
1810	1810	10000	7277	0	0	0	0	0	0	0	0	255	255	255	255	255	1	0	// Hoàn Thành Sekeromikon (1 EA)
1820	1820	150000	7364	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Sách Gọi Hộp Qùa (1 EA)
1830	1830	150000	7365	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Sách Gọi Rồng 2 Đầu (1 EA)
end
