// #############################################################################
// # SSeMU MU Online Emulator
// # ---------------------------------------------------------------------------
// # Website  : https://www.ssemu.com.ar
// # Forum    : https://www.ssemu.com.ar/forum
// # YouTube  : https://www.youtube.com/@ssemu
// # WhatsApp : https://whatsapp.com/channel/0029VaATlSF8F2pDP6OlCG2z
// # ---------------------------------------------------------------------------
// # © 2026 SetecSoft Development
// # This file is part of the SSeMU MuOnline server package.
// #############################################################################

0
// -----------------------------------------------------------
// English
// -----------------------------------------------------------
// Index   Message
// -----------------------------------------------------------
   68      "Inventário: %d | Armazenado: %d"
   69      "Poção Automática"
   70      "Reparo Automático"
   71      "Grupo Automático"
   72      "Auto Buff"
   73      "Buff do Grupo"
   74      "Coleta Automática"
   75      "Itens Excellent"
   76      "Itens Ancient"
   77      "Itens Selecionados"
   78      "Joias"
   79      "Zen"
   80      "Todos os Itens"
   81      "BOT ATIVO"
   82      "Configurações Gerais"
   83      "Configurações de Coleta"
   84      "Habilidade Selecionada"
   85      "Não pode ser usado em uma Zona Segura."
   86      "Fora de alcance. O BOT foi interrompido."
   87      "Missões de Desafio"
   88      "Nenhuma missão está disponível no momento."
   89      "Por favor, tente novamente mais tarde."
   90      "Requisitos"
   91      "Concluir Missão"
end

2
// -----------------------------------------------------------
// Español
// -----------------------------------------------------------
// Índice  Mensaje
// -----------------------------------------------------------
   0       "ATAQUE AUTOMÁTICO"
   1       "Cámara 3D Activada"
   2       "Cámara 3D Desactivada"
   3       "Restaurar Cámara 3D"
   4       "Barra de Vida de Monstruos Activada"
   5       "Barra de Vida de Monstruos Desactivada"
   6       "Opciones Avanzadas"
   7       "Opciones de Renderizado"
   8       "General"
   9       "Resolución"
   10      "Fuente"
   11      "Mapa del Suelo"
   12      "Objetos del Mapa"
   13      "Entidades"
   14      "Sombras"
   15      "Efectos"
   16      "Efectos de Habilidades"
   17      "Barra de Vida de Monstruos"
   18      "Panel de Ataque Automático"
   19      "Ataque Automático"
   20      "Sonidos de Mensajes Privados"
   21      "Volumen"
   22      "Información Emergente"
   23      "Límite de Efectos"
   24      "%Y-%m-%d %H:%M"
   25      "Fecha de Expiración"
   26      "Reconectando..."
   27      "Iniciando sesión..."
   28      "Cargando lista de personajes..."
   29      "Cargando datos del personaje..."
   30      "Precio: %s Coin 1"
   31      "Precio: %s Coin 2"
   32      "Precio: %s Coin 3"
   33      "Tiempo de Eventos"
   34      "Deshabilitado"
   35      "Comienza en %02d día(s)"
   36      "Comienza en %02d:%02d:%02d"
   37      "Abierto"
   38      "En Progreso"
   39      "Monstruos: %u | Jefes: %u"
   40      "Nivel: %d | Resets: %d"
   41      "Desarrollado por SSeMU"
   42      "Arquero Dorado"
   43      "Recompensa (10 Renas)"
   44      "Recompensa (20 Renas)"
   45      "Recompensa (30 Renas)"
   46      "Recompensa (50 Renas)"
   47      "Recompensa (100 Renas)"
   48      "Entregar Rena"
   49      "Renas Registradas: %d"
   50      "Renas Recolectadas: %d"
   51      "Precio: %s Jewel of Bless"
   52      "Precio: %s Jewel of Soul"
   53      "Precio: %s Jewel of Life"
   54      "Precio: %s Jewel of Chaos"
   55      "Precio: %s Jewel of Creation"
   56      "Precio: %s Jewel of Guardian"
   57      "Precio: %s Jewel of Harmony"
   58      "Precio: %s Coin1"
   59      "Precio: %s Coin2"
   60      "Precio: %s Coin3"
   61      "Banco de Ítems"
   62      "Depositar 1"
   63      "Depositar 10"
   64      "Depositar Todo"
   65      "Retirar 1"
   66      "Retirar 10"
   67      "Retirar 20"
   68      "Inventario: %d | Almacenado: %d"
   69      "Poción Automática"
   70      "Reparación Automática"
   71      "Grupo Automático"
   72      "Auto Buff"
   73      "Buff al Grupo"
   74      "Recoger Automáticamente"
   75      "Ítems Excelentes"
   76      "Ítems Ancient"
   77      "Ítems Seleccionados"
   78      "Joyas"
   79      "Zen"
   80      "Todos los Ítems"
   81      "BOT ACTIVO"
   82      "Configuración General"
   83      "Configuración de Recogida"
   84      "Habilidad Seleccionada"
   85      "No puede usarse en una Zona Segura."
   86      "Fuera de alcance. El BOT se ha detenido."
   87      "Misiones de Desafío"
   88      "No hay misiones disponibles actualmente."
   89      "Por favor, inténtalo más tarde."
   90      "Requisitos"
   91      "Completar Misión"
end
